
 epoch:1, train_loss:12.8130, acc:0.1780, acc_cls:0.0894, mean_iu:0.0413, fwavacc:0.1310
 epoch:2, train_loss:7.5082, acc:0.5340, acc_cls:0.2137, mean_iu:0.1297, fwavacc:0.3438
 epoch:3, train_loss:5.2624, acc:0.6237, acc_cls:0.2699, mean_iu:0.1954, fwavacc:0.4382
 epoch:4, train_loss:4.4599, acc:0.6813, acc_cls:0.3560, mean_iu:0.2644, fwavacc:0.5027
 epoch:5, train_loss:4.2213, acc:0.6818, acc_cls:0.3625, mean_iu:0.2588, fwavacc:0.5251
 epoch:6, train_loss:3.2043, acc:0.7524, acc_cls:0.4121, mean_iu:0.3173, fwavacc:0.6085
 epoch:7, train_loss:3.3814, acc:0.7555, acc_cls:0.4195, mean_iu:0.3353, fwavacc:0.6057
 epoch:8, train_loss:2.8966, acc:0.7763, acc_cls:0.4612, mean_iu:0.3639, fwavacc:0.6307
 epoch:9, train_loss:2.6022, acc:0.8021, acc_cls:0.4730, mean_iu:0.3926, fwavacc:0.6732
 epoch:10, train_loss:2.4468, acc:0.8111, acc_cls:0.5021, mean_iu:0.4168, fwavacc:0.6842
 epoch:11, train_loss:1.9618, acc:0.8505, acc_cls:0.5987, mean_iu:0.5055, fwavacc:0.7405
 epoch:12, train_loss:1.8207, acc:0.8730, acc_cls:0.6281, mean_iu:0.5551, fwavacc:0.7773
 epoch:13, train_loss:2.1065, acc:0.8272, acc_cls:0.5810, mean_iu:0.4859, fwavacc:0.7105
 epoch:14, train_loss:1.4920, acc:0.8870, acc_cls:0.6684, mean_iu:0.5996, fwavacc:0.8004
 epoch:15, train_loss:1.6585, acc:0.8601, acc_cls:0.6754, mean_iu:0.5781, fwavacc:0.7623
 epoch:16, train_loss:1.7699, acc:0.8588, acc_cls:0.6162, mean_iu:0.5294, fwavacc:0.7589
 epoch:17, train_loss:1.2400, acc:0.9087, acc_cls:0.7108, mean_iu:0.6429, fwavacc:0.8347
 epoch:18, train_loss:1.4126, acc:0.8905, acc_cls:0.6998, mean_iu:0.6201, fwavacc:0.8079
 epoch:19, train_loss:1.1379, acc:0.9181, acc_cls:0.7718, mean_iu:0.6899, fwavacc:0.8516
 epoch:20, train_loss:1.0466, acc:0.9227, acc_cls:0.7651, mean_iu:0.6962, fwavacc:0.8585
 epoch:21, train_loss:1.1397, acc:0.9036, acc_cls:0.7446, mean_iu:0.6590, fwavacc:0.8271
 epoch:22, train_loss:0.9972, acc:0.9133, acc_cls:0.7684, mean_iu:0.7050, fwavacc:0.8439
 epoch:23, train_loss:1.0721, acc:0.9105, acc_cls:0.7320, mean_iu:0.6587, fwavacc:0.8392
 epoch:24, train_loss:0.9231, acc:0.9247, acc_cls:0.7729, mean_iu:0.7160, fwavacc:0.8610
 epoch:25, train_loss:0.9144, acc:0.9281, acc_cls:0.7739, mean_iu:0.7130, fwavacc:0.8679
 epoch:26, train_loss:0.8373, acc:0.9302, acc_cls:0.7893, mean_iu:0.7325, fwavacc:0.8708
 epoch:27, train_loss:0.8546, acc:0.9315, acc_cls:0.7843, mean_iu:0.7164, fwavacc:0.8736
 epoch:28, train_loss:0.6638, acc:0.9471, acc_cls:0.8095, mean_iu:0.7565, fwavacc:0.9002
 epoch:29, train_loss:0.6277, acc:0.9493, acc_cls:0.8048, mean_iu:0.7549, fwavacc:0.9042
 epoch:30, train_loss:0.5850, acc:0.9521, acc_cls:0.8243, mean_iu:0.7755, fwavacc:0.9100
 epoch:31, train_loss:0.5418, acc:0.9546, acc_cls:0.8269, mean_iu:0.7825, fwavacc:0.9142
 epoch:32, train_loss:0.6170, acc:0.9475, acc_cls:0.7997, mean_iu:0.7539, fwavacc:0.9011
 epoch:33, train_loss:0.4810, acc:0.9609, acc_cls:0.8378, mean_iu:0.7950, fwavacc:0.9257
 epoch:34, train_loss:0.4511, acc:0.9637, acc_cls:0.8357, mean_iu:0.7967, fwavacc:0.9309
 epoch:35, train_loss:0.4406, acc:0.9645, acc_cls:0.8382, mean_iu:0.8020, fwavacc:0.9322
 epoch:36, train_loss:0.4156, acc:0.9672, acc_cls:0.8404, mean_iu:0.8040, fwavacc:0.9375
 epoch:37, train_loss:0.4061, acc:0.9675, acc_cls:0.8463, mean_iu:0.8072, fwavacc:0.9379
 epoch:38, train_loss:0.3837, acc:0.9696, acc_cls:0.8541, mean_iu:0.8119, fwavacc:0.9418
 epoch:39, train_loss:0.3330, acc:0.9725, acc_cls:0.8491, mean_iu:0.8162, fwavacc:0.9471
 epoch:40, train_loss:0.3008, acc:0.9744, acc_cls:0.8493, mean_iu:0.8226, fwavacc:0.9508
 epoch:41, train_loss:0.2721, acc:0.9768, acc_cls:0.8572, mean_iu:0.8309, fwavacc:0.9551
 epoch:42, train_loss:0.2642, acc:0.9774, acc_cls:0.8596, mean_iu:0.8292, fwavacc:0.9562
 epoch:43, train_loss:0.2709, acc:0.9775, acc_cls:0.8609, mean_iu:0.8313, fwavacc:0.9566
 epoch:44, train_loss:0.2634, acc:0.9765, acc_cls:0.8558, mean_iu:0.8256, fwavacc:0.9545
 epoch:45, train_loss:0.2646, acc:0.9774, acc_cls:0.8652, mean_iu:0.8320, fwavacc:0.9563
 epoch:46, train_loss:0.2550, acc:0.9772, acc_cls:0.8610, mean_iu:0.8359, fwavacc:0.9557
 epoch:47, train_loss:0.2491, acc:0.9786, acc_cls:0.8600, mean_iu:0.8343, fwavacc:0.9585
 epoch:48, train_loss:0.2665, acc:0.9766, acc_cls:0.8612, mean_iu:0.8334, fwavacc:0.9547
 epoch:49, train_loss:0.2162, acc:0.9821, acc_cls:0.8642, mean_iu:0.8418, fwavacc:0.9652
 epoch:50, train_loss:0.2421, acc:0.9793, acc_cls:0.8705, mean_iu:0.8405, fwavacc:0.9598
 epoch:51, train_loss:0.2191, acc:0.9814, acc_cls:0.8705, mean_iu:0.8460, fwavacc:0.9638
 epoch:52, train_loss:0.2362, acc:0.9795, acc_cls:0.8608, mean_iu:0.8381, fwavacc:0.9602
 epoch:53, train_loss:0.2290, acc:0.9788, acc_cls:0.8625, mean_iu:0.8376, fwavacc:0.9589
 epoch:54, train_loss:0.1976, acc:0.9828, acc_cls:0.8719, mean_iu:0.8475, fwavacc:0.9666
 epoch:55, train_loss:0.2130, acc:0.9810, acc_cls:0.8792, mean_iu:0.8559, fwavacc:0.9629
 epoch:56, train_loss:0.1882, acc:0.9834, acc_cls:0.8794, mean_iu:0.8585, fwavacc:0.9676
 epoch:57, train_loss:0.1819, acc:0.9844, acc_cls:0.8715, mean_iu:0.8519, fwavacc:0.9694
 epoch:58, train_loss:0.1851, acc:0.9837, acc_cls:0.8723, mean_iu:0.8491, fwavacc:0.9681
 epoch:59, train_loss:0.1684, acc:0.9854, acc_cls:0.8930, mean_iu:0.8722, fwavacc:0.9714
 epoch:60, train_loss:0.1606, acc:0.9858, acc_cls:0.9086, mean_iu:0.8865, fwavacc:0.9723
 epoch:61, train_loss:0.1681, acc:0.9852, acc_cls:0.9066, mean_iu:0.8838, fwavacc:0.9713
 epoch:62, train_loss:0.1594, acc:0.9862, acc_cls:0.8828, mean_iu:0.8662, fwavacc:0.9729
 epoch:63, train_loss:0.1578, acc:0.9855, acc_cls:0.8844, mean_iu:0.8635, fwavacc:0.9717
 epoch:64, train_loss:0.1629, acc:0.9856, acc_cls:0.9032, mean_iu:0.8808, fwavacc:0.9719
 epoch:65, train_loss:0.1409, acc:0.9879, acc_cls:0.9196, mean_iu:0.9026, fwavacc:0.9763
 epoch:66, train_loss:0.1428, acc:0.9881, acc_cls:0.8956, mean_iu:0.8803, fwavacc:0.9766
